sheet,cell,classification,old,new
START HERE,A1,DOCUMENTATION — version identifier and confidence census,"TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.4 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 69 H / 40 M / 29 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)","TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.5 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 72 H / 40 M / 26 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)"
QB VALUES,C6,QB DATA — ACTIVATION (ALA),,Keelon Russell
QB VALUES,D6,QB DATA — ACTIVATION (ALA),,0
QB VALUES,F6,QB DATA — ACTIVATION (ALA),,0
QB VALUES,H6,QB DATA — ACTIVATION (ALA),L,H
QB VALUES,I6,QB DATA — ACTIVATION (ALA),Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),"CBS Sports / USA TODAY, 2026-08-22 (https://www.cbssports.com/college-football/news/alabama-keelon-russell-starting-qb-battle-austin-mack-kalen-deboer-sec/)"
QB VALUES,K6,QB DATA — ACTIVATION (ALA),2026-08-04 00:00:00,2026-08-24 00:00:00
QB VALUES,L6,QB DATA — ACTIVATION (ALA),"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp QB intel (2026-08-04) confirms the entry - Keelon Russell (2nd-year freshman, former No. 2 overall recruit) vs Austin Mack (RS junior, system experience). Russell only SLIGHTLY favored (characterized as 55-45 to 60-40); status UNDECIDED with the competition ongoing into fall camp; 'Russell will have to improve his consistency' to secure the job. Genuine competition, no leader established by the staff -> L retained; values blank; UNCERTAIN.","2026-08-24 ACTIVATED, confidence H. Head coach Kalen DeBoer selected Keelon Russell over Austin Mack after the second fall scrimmage; the decision was confirmed on 2026-08-22 by USA TODAY Sports and carried by CBS Sports as 'Alabama names Keelon Russell starting QB'. A head-coach decision made and communicated, reported by multiple national outlets. Supersedes the 2026-08-19 authoritative update, which recorded the race as ongoing as of its 2026-08-14 check. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change."
QB VALUES,C18,QB DATA — ACTIVATION (TENN),,Faizon Brandon
QB VALUES,D18,QB DATA — ACTIVATION (TENN),,0
QB VALUES,F18,QB DATA — ACTIVATION (TENN),,0
QB VALUES,H18,QB DATA — ACTIVATION (TENN),L,H
QB VALUES,I18,QB DATA — ACTIVATION (TENN),Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),"Syndicated wire report, 2026-08-24 (https://ticket760.iheart.com/content/2026-08-24-volunteers-name-true-freshman-starting-qb/)"
QB VALUES,K18,QB DATA — ACTIVATION (TENN),2026-08-04 00:00:00,2026-08-24 00:00:00
QB VALUES,L18,QB DATA — ACTIVATION (TENN),"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp intel (2026-08-04) confirms the entry - Faizon Brandon (five-star true freshman) vs George MacIntyre (RS, most system time). Brandon is FAVORED and impressed evaluators ('This kid's got moxie... confidence'), but the competition is UNDECIDED entering fall camp. Genuine competition -> L retained; values blank; UNCERTAIN.","2026-08-24 ACTIVATED, confidence H. Head coach Josh Heupel announced Faizon Brandon as the starting quarterback in a team meeting on Monday 2026-08-24, over George MacIntyre and Colorado transfer Ryan Staub. Brandon is Tennessee's first true freshman to start a season opener since 2004. Formal team announcement. This naming post-dates the 2026-08-19 authoritative update, which recorded an either/or starter as of its 2026-08-18 check. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change."
QB VALUES,C69,QB DATA — ACTIVATION (SYR),,Steve Angeli
QB VALUES,D69,QB DATA — ACTIVATION (SYR),,0
QB VALUES,F69,QB DATA — ACTIVATION (SYR),,0
QB VALUES,H69,QB DATA — ACTIVATION (SYR),L,H
