sheet,cell,row,team,change_class,old,new,is_numeric_zero
START HERE,A1,1,,BANNER,"TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.6 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 73 H / 40 M / 25 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)","TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.7 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 76 H / 43 M / 19 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)",False
QB VALUES,D7,7,Arkansas,ACTIVATION,,0,True
QB VALUES,E7,7,Arkansas,ACTIVATION,Open (KJ Jackson / AJ Hill),KJ Jackson,False
QB VALUES,F7,7,Arkansas,ACTIVATION,,0,True
QB VALUES,H7,7,Arkansas,ACTIVATION,L,H,False
QB VALUES,I7,7,Arkansas,ACTIVATION,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),Yahoo Sports / Whole Hog Sports 2026-08-24 (https://sports.yahoo.com/articles/why-arkansas-football-chose-kj-091055884.html),False
QB VALUES,K7,7,Arkansas,ACTIVATION,2026-08-03 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L7,7,Arkansas,ACTIVATION,"DEFECT CORRECTED 2026-08-03: prior entry asserted KJ Jackson as likely starter (M). HC Ryan Silverfield (Whole Hog Sports, 2026-08-03) says the KJ Jackson vs AJ Hill battle 'could last until the Sept. 5 opener vs North Alabama'; he and OC Tim Cramsey called it 'wide open' in February. Jackson: RS-So, 4-star 2024, 33/54 441yds 3TD 0INT in 2025. Hill: RS-Fr, Memphis transfer (followed Silverfield), 4-star 2025, two years in Cramsey's system. Genuine open competition -> L. Numerical zeros CLEARED to blank per the approved Akron consistency methodology.","2026-08-25 ACTIVATED, confidence L -> H. Arkansas made the decision official on Sunday 2026-08-23 - 'the Hogs made things official on Sunday, Aug. 23, labeling Jackson as the starter' - with HC Ryan Silverfield on the record: 'Ultimately, it came down to the actual situational football', citing Jackson's slight edge in two-minute and situational work. KJ Jackson beat out Memphis transfer AJ Hill after they split first-team reps through 14 fall camp practices. H because this is a first-party team announcement plus a named head-coach rationale. Braden Fuller appeared in the spring game and is NOT part of the starting competition. DEVIATION IS EXACTLY ZERO AND VERIFIED: KJ Jackson was ALREADY the recorded baseline quarterback in column C before this activation, which is therefore NOT rewritten. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the reported North Alabama opener matches IMPORT SCHEDULE exactly (wk1 2026-09-05 North Alabama Lions @ Arkansas Razorbacks). Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
QB VALUES,C9,9,Florida,ACTIVATION,,Aaron Philo,False
QB VALUES,D9,9,Florida,ACTIVATION,,0,True
QB VALUES,F9,9,Florida,ACTIVATION,,0,True
QB VALUES,H9,9,Florida,ACTIVATION,L,H,False
QB VALUES,I9,9,Florida,ACTIVATION,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),Official Florida Athletics 2026-08-24 (https://floridagators.com/news/2026/8/24/football-philo-moves-to-top-of-qb-depth-chart-aug-24-2026); HC Jon Sumrall announcement via The Independent Florida Alligator (https://www.alligator.org/article/2026/08/aaron-philo-starting-quarterback),False
QB VALUES,K9,9,Florida,ACTIVATION,2026-08-04 00:00:00,2026-08-25 00:00:00,False
