sheet,cell,classification,old,new
START HERE,A1,VERSION OR CHANGELOG,"TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.7.8 CANDIDATE — final five resolved, QB verification backlog = 0; Washington State M->L and Georgia Southern stale entry corrected; NOT AUTHORITATIVE, NOT PROMOTED)","TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.7.9 FINAL QB-VERIFICATION CANDIDATE — backlog 0, audit-trail gap 0; all 74 Tier-1 records verified and stamped; Missouri M->H, North Carolina and UNLV M->L; NOT AUTHORITATIVE, NOT PROMOTED — awaiting owner approval)"
QB VALUES,K6,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L6,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),"backup promotion / open competition | OPEN COMPETITION — candidates: Keelon Russell (RS Fr, slight leader); Austin Mack (RS, dinged up) | Baseline QB left blank (starter identity not established) | 2025: Russell: minimal college pass attempts (redshirt Fr) | NOTE: Mack reported 'dinged up' in spring | open competition (not named; likely decided late fall) | VALUE PENDING RUBRIC APPROVAL","VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp QB intel (2026-08-04) confirms the entry - Keelon Russell (2nd-year freshman, former No. 2 overall recruit) vs Austin Mack (RS junior, system experience). Russell only SLIGHTLY favored (characterized as 55-45 to 60-40); status UNDECIDED with the competition ongoing into fall camp; 'Russell will have to improve his consistency' to secure the job. Genuine competition, no leader established by the staff -> L retained; values blank; UNCERTAIN."
QB VALUES,E8,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),Byrum Brown,Byrum Brown (USF transfer)
QB VALUES,K8,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L8,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),"transfer | prev: South Florida (USF) | 2025: USF 2025: 28 pass TD, 7 INT (RS senior, dual-threat) | strong projected (transfer brought in to start, no competition reported) | VALUE PENDING RUBRIC APPROVAL","VERIFIED 7D.5 2026-08-04: Byrum Brown CONFIRMED as Auburn's quarterback - a USF transfer who followed HC Alex Golesh from Tampa and was among the most sought-after players in the portal. 2025 at USF: 3,158 pass yds, 28 TD, 7 INT, leading the Bulls to 9-3. No competition reported and no formal naming located -> M retained (not H). Entry corroborated; zeros retained; status OK. RECHECK: official Auburn depth chart."
QB VALUES,K9,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L9,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),"transfer / open competition | prev: Georgia Tech | OPEN COMPETITION — candidates: Aaron Philo (Georgia Tech transfer, w/ OC Buster Faulkner); Tramell Jones Jr. (impressed in spring) | Baseline QB left blank (starter identity not established) | 2025: partial | open competition | VALUE PENDING RUBRIC APPROVAL","VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp intel (2026-08-04) confirms an open competition - Aaron Philo (Georgia Tech transfer, reunited with OC Buster Faulkner) vs Tramell Jones (RS freshman). Philo is FAVORED and 'holds the edge entering fall camp' on the strength of a more consistent spring, but NO starter has been named and the competition is live. Under the 7D.5 rule that a starter must not be inferred from a preseason projection, a media 'edge' characterization without a staff naming does not clear the M bar -> L retained (consistent with the Colorado State treatment); values blank; UNCERTAIN. RECHECK: Florida depth chart."
QB VALUES,E11,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),Kenny Minchey,Kenny Minchey (Notre Dame transfer)
QB VALUES,K11,F-7 AUDIT-TRAIL STAMP (verification date + evidence note),2026-07-21 00:00:00,2026-08-04 00:00:00
