sheet,cell,classification,old,new
START HERE,A1,VERSION OR CHANGELOG,"TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.7.7 CANDIDATE — final G5 batch: 26 of 31 verified, 3 defects corrected (Buffalo, Northern Illinois, Appalachian State), Miami OH conflict resolved; backlog 5; NOT AUTHORITATIVE, NOT PROMOTED)","TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.7.8 CANDIDATE — final five resolved, QB verification backlog = 0; Washington State M->L and Georgia Southern stale entry corrected; NOT AUTHORITATIVE, NOT PROMOTED)"
QB VALUES,E78,VERIFIED PAC-12 QB UPDATE,Brad Jackson,Brad Jackson (returning starter)
QB VALUES,K78,VERIFIED PAC-12 QB UPDATE,2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L78,VERIFIED PAC-12 QB UPDATE,returning starter | 2025: Emerged at Texas State in 2025 | projected returning starter | VALUE PENDING RUBRIC APPROVAL,"VERIFIED 2026-08-04: Brad Jackson CONFIRMED as Texas State's returning starter for the Pac-12 debut. He started 2025 as a redshirt freshman (3,050 pass yds, 18 TD, 7 INT, 71.5% comp; 16-17 rush TD, school single-season rushing-TD record for a QB; 3,968 total yds, 7th nationally), was a third-team all-conference pick, and ANNOUNCED HIS RETURN on 2025-12-06 alongside WRs Beau Sparks and Chris Dawn Jr. Coverage states Texas State 'returns a starting quarterback for the first time under Kinne'; The Athletic ranked him the top Group of Five quarterback; he spoke to media at 2026 fall camp as the quarterback. NO competition reported. H CONSIDERED AND DECLINED: no official 2026 naming or depth chart has been published, and the WMU (Broc Lowry) / Toledo (John Alan Richter) precedent in this project confirms a returning starter at M rather than upgrading. -> M retained; zeros retained (correct for M); status OK. RECHECK: official Texas State depth chart before Week 1."
QB VALUES,D80,NUMERICAL-CELL CONSISTENCY REPAIR,0,
QB VALUES,E80,VERIFIED PAC-12 QB UPDATE,Caden Pinnick,Open (Caden Pinnick / Owen Eshelman / Julian Dugger)
QB VALUES,F80,NUMERICAL-CELL CONSISTENCY REPAIR,0,
QB VALUES,H80,VERIFIED PAC-12 QB UPDATE,M,L
QB VALUES,K80,VERIFIED PAC-12 QB UPDATE,2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L80,VERIFIED PAC-12 QB UPDATE,"transfer | prev: UC Davis | 2025: UC Davis (FCS, prior) | projected transfer QB1 | VALUE PENDING RUBRIC APPROVAL","DEFECT CORRECTED 2026-08-04: prior entry asserted Caden Pinnick as the projected transfer QB1 (M). Current team-specific beat coverage contradicts a settled leader. HeraldNet 2026-07-30 headline: WSU 'set to open fall camp with WIDE-OPEN QB competition'; The Columbian 2026-08-01: 'Washington State football heads into fall with quarterback situation UNRESOLVED.' First-year HC Kirby Moore declined to name a preference - 'That's gonna continue through the summer... The team will decide who the quarterback is in terms of what happens on the field.' The Spokesman-Review beat reports Pinnick 'WASN'T ABLE TO CREATE MEANINGFUL SEPARATION FROM ESHELMAN' in spring (his spring game ended in a pick-6), and that Moore's staff may keep the decision in-house until kickoff. SOURCE CONFLICT: CougCenter calls Pinnick the 'early frontrunner', but that is a media characterization contradicted by the beat writer's direct observation and by the head coach's non-commitment; resolved toward the primary evidence. Note the room shrank further - 2025 Coug Jaxon Potter transferred OUT to Old Dominion. Three-way competition with no leader established -> M downgraded to L. Numerical zeros CLEARED to blank per the approved Akron/App State consistency methodology; status becomes UNCERTAIN. RECHECK: WSU depth chart or a Moore naming; camp runs from 2026-08-06."
